tweet_id,sentiment,num_urls,num_pings,num_tags,#!,#?,#...,Upper/Lower ratio,num_words,avg_word_len
1956967341,6,0,1,0,0,0,0,0.016129032258064516,16,3.8125
1956967666,6,0,0,0,0,0,2,0.045454545454545456,11,4.0
1956967696,6,0,0,0,0,0,2,0.07407407407407407,4,6.75
1956967789,1,0,0,0,1,0,0,0.19230769230769232,7,4.142857142857143
1956968416,4,0,1,0,0,0,0,0.05454545454545454,14,4.0
1956968477,8,0,1,0,0,1,0,0.08,15,3.466666666666667
1956968487,6,0,0,0,3,0,0,0.03260869565217391,25,3.76
1956968636,8,1,0,0,0,0,0,0.2,3,3.3333333333333335
1956969035,6,0,1,0,0,0,0,0.14285714285714285,6,3.6666666666666665
1956969172,6,0,1,0,0,1,0,0.13636363636363635,6,3.8333333333333335
1956969456,4,0,0,0,0,0,0,0.06666666666666667,3,4.666666666666667
1956969531,8,0,0,0,0,0,0,0.1,4,5.0
1956970047,6,0,0,0,2,0,0,0.06666666666666667,14,3.2857142857142856
1956970424,6,0,1,0,0,0,0,0.00980392156862745,24,4.208333333333333
1956970860,7,0,0,0,0,0,0,0.2,3,3.3333333333333335
1956971077,6,0,0,0,0,0,0,0.05405405405405406,9,4.111111111111111
1956971170,3,0,1,0,0,0,0,0.14285714285714285,1,6.0
1956971206,6,0,0,0,0,0,0,0.06382978723404255,13,3.6923076923076925
1956971473,8,0,1,0,0,0,0,0.014705882352941176,15,4.466666666666667
1956971586,6,0,0,0,0,1,1,0.11363636363636363,24,4.0
1956971981,8,0,1,0,1,0,0,0.05263157894736842,15,3.8666666666666667
1956972097,1,0,0,0,0,0,1,0.031578947368421054,22,4.409090909090909
1956972116,4,1,1,1,0,0,0,0.14035087719298245,14,4.785714285714286
1956972270,8,0,0,0,0,0,1,0.12280701754385964,17,3.6470588235294117
1956972359,6,0,0,0,0,0,0,0.013333333333333334,19,3.8947368421052633
1956972444,8,0,0,0,0,0,1,0.02247191011235955,24,3.75
1956972557,6,0,1,0,1,0,0,0.011904761904761904,22,3.772727272727273
1956972884,8,0,0,0,0,0,0,0.03636363636363636,15,3.8
1956973598,6,0,0,0,11,0,4,0.15384615384615385,15,3.8666666666666667
1956973690,8,0,0,0,0,0,0,33.0,12,2.6666666666666665
1956974706,0,0,0,0,1,0,0,0.029850746268656716,17,3.9411764705882355
1956975441,4,0,1,0,0,0,0,0.09090909090909091,3,3.3333333333333335
1956975860,4,0,0,0,8,0,0,0.125,6,2.6666666666666665
1956975876,4,1,0,0,0,0,0,0.02564102564102564,8,4.75
1956975927,4,0,0,0,1,0,1,0.10714285714285714,6,4.833333333333333
1956976187,4,0,1,0,1,0,1,0.14285714285714285,7,3.2857142857142856
1956976312,6,0,1,0,0,1,0,0.03409090909090909,25,3.56
1956976371,8,0,0,0,0,0,0,0.1111111111111111,5,3.6
1956976557,4,0,0,0,0,0,0,0.047619047619047616,4,5.0
1956976681,4,0,1,0,0,1,0,0.09523809523809523,12,3.6666666666666665
1956977084,2,0,0,1,1,0,1,0.02040816326530612,13,3.6923076923076925
1956977187,1,0,1,0,0,0,0,0.011363636363636364,21,4.190476190476191
1956977618,8,0,0,0,2,0,0,0.04285714285714286,17,4.176470588235294
1956977624,8,0,0,0,0,1,1,0.09782608695652174,25,3.96
1956978276,6,0,1,0,0,0,0,0.034482758620689655,19,4.631578947368421
1956978410,8,0,0,0,5,0,2,0.029850746268656716,18,3.7222222222222223
1956978668,8,0,1,0,0,0,2,0.08333333333333333,25,3.56
1956979150,6,0,0,0,4,0,1,0.03571428571428571,15,3.7333333333333334
1956979437,4,0,1,0,1,0,0,0.014705882352941176,18,3.7222222222222223
1956979756,4,0,0,0,4,0,0,0.07142857142857142,4,3.25
1956979894,4,0,0,0,0,0,0,0.05660377358490566,13,4.153846153846154
1956979900,8,0,0,0,0,1,0,0.07142857142857142,5,2.6
1956979917,6,0,1,0,0,0,0,0.043478260869565216,7,3.142857142857143
1956980788,4,0,1,0,0,0,1,0.010869565217391304,25,3.68
1956980883,4,0,1,0,2,1,0,0.07407407407407407,9,3.0
1956980972,8,0,0,0,0,0,0,0.014492753623188406,20,3.4
1956981427,1,0,0,0,0,0,1,0.030303030303030304,28,3.607142857142857
1956981850,4,0,1,0,0,0,0,0.009708737864077669,23,4.434782608695652
1956982075,4,0,1,0,0,0,1,0.26666666666666666,6,2.8333333333333335
1956982383,6,0,1,0,1,0,0,0.12195121951219512,12,3.6666666666666665
1956982449,8,0,1,0,1,0,0,0.03225806451612903,8,3.75
1956982576,6,0,0,0,0,0,1,0.07547169811320754,14,4.071428571428571
1956982605,6,0,0,0,0,0,0,0.02702702702702703,18,4.111111111111111
1956983160,6,0,1,0,0,0,1,0.045454545454545456,5,4.2
1956983171,6,0,0,0,0,0,6,0.02631578947368421,21,3.619047619047619
1956983467,4,0,0,0,0,0,0,0.07692307692307693,8,3.25
1956983509,8,0,1,0,1,0,0,0.016129032258064516,15,4.066666666666666
1956983690,6,0,2,0,0,0,0,0.018867924528301886,13,4.0
1956983851,8,0,0,0,0,0,0,0.05405405405405406,21,3.619047619047619
1956983874,2,0,0,0,0,0,0,0.10256410256410256,20,4.2
1956983931,4,0,1,0,0,0,0,0.09090909090909091,6,3.6666666666666665
1956984185,8,0,0,0,0,0,1,0.019230769230769232,21,4.9523809523809526
1956984205,4,0,0,0,0,0,0,0.10989010989010989,23,4.304347826086956
1956984559,4,1,0,0,0,0,0,0.11764705882352941,4,4.25
1956984864,8,0,0,0,0,0,0,0.039603960396039604,29,3.6206896551724137
1956984894,4,0,0,0,1,0,0,0.3,3,3.6666666666666665
1956985129,4,0,1,0,2,0,0,0.5,3,4.333333333333333
1956985535,2,0,1,0,0,1,0,0.17307692307692307,13,4.538461538461538
1956985612,8,0,0,0,0,0,1,0.023809523809523808,12,3.4166666666666665
